Categories,Text;
<Monument>,Architectenwoning Ferdinand Schlich;
<heeftNaam>,Architectenwoning Ferdinand Schlich;
<heeftAdres>,Gérard Willemotlaan 85  Gent (Mariakerke);
<gevestigdIn>,Gent;
<heeftKadastraleInformatie>,Gent 29ste afdeling sectie A perceelnummer 770M;
<ontworpenDoor>,Ferdinand Schlich;
<volgtArchitectuurstijl>,Modernisme;
<heeftBouwdatum>,1988;
<beschermdDoor>,Besluit_14743;
"<heeftHistorischeBetekenis>,""De woning van Ferdinand Schlich is een waardevol voorbeeld van architectonische eenvoud, ambachtelijke afwerking en integratie in de omgeving. Het gebouw toont sterke invloeden van modernisme en het werk van Mies van der Rohe, Le Corbusier, en Frank Lloyd Wright.""";
<Besluit>,Besluit van 20 december 2018;
<heeftBesluitDatum>,2018-12-20;
<beschermt>,Architectenwoning Ferdinand Schlich;
<wettelijkeBasis>,Onroerenderfgoeddecreet van 12 juli 2013  artikel 6.1.1;
<typeBescherming>,Definitieve bescherming;
<gerelateerdMonument>,Monument_113448;
<Locatie>,Gent;
<heeftNaam>,Gent;
<bevatMonument>,Architectenwoning Ferdinand Schlich;
